date,open,high,low,close,volume,value,board
2008-09-23,0.357,0.357,0.357,0.357,8100,2891.7,EQNE
2008-09-24,0.357,0.357,0.357,0.357,100,35.7,EQNE
2008-09-25,0.357,0.357,0.357,0.357,8000,2856.0,EQNE
2008-10-02,0.357,0.357,0.357,0.357,100,35.7,EQNE
2008-10-03,0.357,0.357,0.357,0.357,100,35.7,EQNE
2008-10-13,0.357,0.357,0.357,0.357,100,35.7,EQNE
2008-12-08,0.215,0.302,0.215,0.302,2551000,549802.0,EQNE
2008-12-09,0.1815,0.1815,0.1815,0.1815,1100,199.65,EQNE
2008-12-10,0.109,0.109,0.109,0.109,536900,58522.1,EQNE
2008-12-11,0.0654,0.0654,0.0654,0.0654,336000,21974.4,EQNE
2008-12-12,0.05,0.055,0.043,0.055,11620800,588584.65,EQNE
2008-12-15,0.06,0.07,0.06,0.07,2009000,125630.0,EQNE
2008-12-16,0.07,0.07,0.0655,0.0655,1000100,70006.55,EQNE
2008-12-17,0.075,0.075,0.0749,0.0749,17000,1274.28,EQNE
2008-12-18,0.0451,0.065,0.045,0.065,70200,3163.0,EQNE
2008-12-22,0.0749,0.0749,0.0747,0.0747,200,14.96,EQNE
2008-12-23,0.07,0.09,0.07,0.09,500100,35009.0,EQNE
2008-12-24,0.07,0.071,0.06,0.0603,131800,8957.61,EQNE
2008-12-25,0.0601,0.0843,0.0601,0.0843,238400,16299.6,EQNE
2008-12-26,0.07,0.1035,0.07,0.1034,416200,34523.75,EQNE
2008-12-29,0.14,0.1408,0.0652,0.1,3900,370.24,EQNE
2008-12-30,0.14,0.14,0.1,0.14,128200,15628.6,EQNE
2008-12-31,0.19,0.19,0.1,0.18,106800,10697.0,EQNE
2009-01-11,0.14,0.14,0.0751,0.119,7000,782.88,EQNE
2009-01-12,0.1666,0.1666,0.0872,0.0872,127200,13496.04,EQNE
2009-01-13,0.1,0.1,0.061,0.0657,52900,3349.09,EQNE
2009-01-14,0.0725,0.12,0.072,0.098,47500,3748.9,EQNE
2009-01-15,0.098,0.1,0.0831,0.1,10600,950.7,EQNE
2009-01-16,0.1,0.12,0.1,0.12,5600,621.3,EQNE
2009-01-19,0.0677,0.1199,0.0677,0.075,110400,8151.65,EQNE
2009-01-20,0.0705,0.0705,0.07,0.07,12000,841.5,EQNE
2009-01-21,0.0949,0.0949,0.0949,0.0949,100,9.49,EQNE
2009-01-22,0.095,0.095,0.095,0.095,100,9.5,EQNE
2009-01-26,0.09,0.09,0.09,0.09,100,9.0,EQNE
2009-01-27,0.09,0.09,0.09,0.09,200,18.0,EQNE
2009-01-30,0.09,0.09,0.0625,0.063,900,75.51,EQNE
2009-02-02,0.0882,0.0882,0.083,0.0882,300,25.94,EQNE
2009-02-03,0.0882,0.0882,0.0882,0.0882,100,8.82,EQNE
2009-02-04,0.0882,0.0882,0.0882,0.0882,100,8.82,EQNE
2009-02-05,0.09,0.09,0.09,0.09,100,9.0,EQNE
2009-02-06,0.0896,0.09,0.0896,0.09,171200,15406.16,EQNE
2009-02-09,0.1198,0.1198,0.09,0.119,7400,671.88,EQNE
2009-02-10,0.1195,0.1197,0.1,0.1197,39100,4115.59,EQNE
2009-02-11,0.12,0.14,0.085,0.11,1983800,200575.2,EQNE
2009-02-12,0.11,0.125,0.11,0.125,111700,12302.0,EQNE
2009-02-13,0.125,0.125,0.125,0.125,100,12.5,EQNE
2009-02-16,0.123,0.16,0.123,0.16,23700,2962.23,EQNE
2009-02-17,0.148,0.15,0.0813,0.15,400,52.72,EQNE
2009-02-18,0.12,0.1236,0.0929,0.0929,25500,3057.65,EQNE
2009-02-19,0.1199,0.1199,0.1199,0.1199,400,47.96,EQNE
2009-02-20,0.09,0.09,0.075,0.075,200,16.5,EQNE
2009-02-24,0.077,0.1155,0.0761,0.1155,21300,1929.85,EQNE
2009-02-25,0.1155,0.1155,0.1155,0.1155,100000,11550.0,EQNE
2009-02-26,0.1237,0.1237,0.0812,0.0812,40600,4880.59,EQNE
2009-02-27,0.113,0.1137,0.111,0.111,10400,1181.83,EQNE
2009-03-02,0.08,0.15,0.08,0.09,7432100,659708.91,EQNE
2009-03-03,0.098,0.11,0.093,0.098,88700,8817.85,EQNE
2009-03-04,0.0901,0.12,0.0901,0.109,389400,40978.94,EQNE
2009-03-05,0.095,0.105,0.095,0.105,771200,73265.0,EQNE
2009-03-10,0.1,0.1184,0.095,0.1184,1130300,111698.98,EQNE
2009-03-11,0.11,0.117,0.1,0.114,138100,14523.77,EQNE
2009-03-12,0.107,0.107,0.102,0.102,110200,11724.34,EQNE
2009-03-13,0.1247,0.1247,0.0968,0.0969,143500,14013.47,EQNE
2009-03-16,0.0824,0.1099,0.0824,0.1099,600,53.09,EQNE
2009-03-17,0.1348,0.1348,0.095,0.12,621400,69641.16,EQNE
2009-03-18,0.1197,0.1197,0.1197,0.1197,100,11.97,EQNE
2009-03-19,0.1027,0.1181,0.101,0.1181,332200,33555.66,EQNE
