date,open,high,low,close,volume,value,board
2004-06-23,95.89,96.0,95.0,95.89,7200,690273.8,EQNE
2005-06-20,350.0,350.0,110.0,250.0,122,16100.0,EQNE
2005-06-21,250.0,250.0,250.0,250.0,3,750.0,EQNE
2005-06-22,250.0,250.0,235.0,235.0,4,985.0,EQNE
2005-06-23,235.0,299.0,120.0,299.0,715,155425.0,EQNE
2005-06-27,329.0,329.0,329.0,329.0,1,329.0,EQNE
2005-06-30,135.0,310.0,135.0,310.0,200,44500.0,EQNE
2005-07-05,300.0,320.0,205.0,319.0,300,82708.0,EQNE
2005-07-07,207.0,310.0,207.0,310.0,380,98230.0,EQNE
2005-07-11,243.0,299.0,151.0,299.0,377,84811.0,EQNE
2005-07-13,281.0,298.0,240.0,240.0,3,819.0,EQNE
2005-07-15,298.0,314.0,291.0,300.0,120,36022.0,EQNE
2005-07-18,155.0,313.78,155.0,313.0,307,71774.12,EQNE
2005-07-19,200.0,300.0,130.0,180.0,71,10662.99,EQNE
2005-07-20,154.01,261.0,150.0,201.0,65,12713.01,EQNE
2005-07-21,172.01,217.0,150.08,217.0,68,12981.47,EQNE
2005-07-22,184.0,184.0,184.0,184.0,1,184.0,EQNE
2005-07-25,175.0,299.99,175.0,299.99,472,106253.45,EQNE
2005-07-26,299.99,394.0,205.0,394.0,357,106429.99,EQNE
2005-07-27,399.0,499.0,301.01,460.0,270,108129.48,EQNE
2005-07-28,498.0,572.0,433.0,569.0,138,72247.86,EQNE
2005-07-29,530.0,780.0,525.0,780.0,131,82284.7,EQNE
2005-08-01,780.0,1090.0,680.0,775.0,485,437590.96,EQNE
2005-08-02,840.0,888.0,750.0,785.0,33,26083.0,EQNE
2005-08-03,785.01,1559.0,711.0,1550.0,400,465041.84,EQNE
2005-08-04,1529.0,1795.0,1090.0,1300.01,103,157388.99,EQNE
2005-08-05,1403.0,1900.1,1233.0,1530.0,171,267662.13,EQNE
2005-08-08,1550.0,1990.0,1150.0,1648.0,267,408158.38,EQNE
2005-08-09,1600.0,1600.0,1310.0,1400.01,23,32074.03,EQNE
2005-08-10,1258.0,1400.0,1002.0,1299.0,47,58470.01,EQNE
2005-08-11,1429.0,1429.0,1055.0,1101.0,38,43866.0,EQNE
2005-08-12,1060.0,1099.0,1053.0,1099.0,11,11686.02,EQNE
2005-08-15,1099.0,1099.0,994.01,1099.0,623,658351.95,EQNE
2005-08-16,1200.0,1340.0,1010.0,1119.0,35,40140.0,EQNE
2005-08-17,1097.0,1097.0,1080.0,1080.0,7,7614.0,EQNE
2005-08-18,1200.0,1200.0,1200.0,1200.0,1,1200.0,EQNE
2005-08-19,1100.0,1100.0,1099.0,1099.0,3,3299.0,EQNE
2005-08-22,1010.0,1198.0,688.0,1100.0,784,776786.75,EQNE
2005-08-23,1099.0,1099.0,851.0,856.0,770,750325.0,EQNE
2005-08-24,1010.0,1090.0,1000.0,1000.0,13,13100.0,EQNE
2005-08-25,861.0,1119.0,861.0,995.0,879,873505.99,EQNE
