date,open,high,low,close,volume,value,board
2013-07-23,129.5,154.0,129.0,131.0,5130,664938.5,EQLV
2013-07-24,131.5,131.8,130.0,131.49,6650,874513.5,EQLV
2013-07-25,131.5,132.0,131.01,131.01,7790,1024361.5,EQLV
2013-07-26,131.7,132.1,130.0,132.1,10810,1424031.0,EQLV
2013-07-29,129.0,133.0,129.0,133.0,8380,1083156.0,EQLV
2013-07-30,129.01,132.11,129.01,132.11,2640,342421.1,EQLV
2013-07-31,129.0,132.1,129.0,132.1,23410,3022060.5,EQLV
2013-08-01,129.0,134.0,129.0,132.0,15760,2049225.5,EQLV
2013-08-02,136.05,137.3,134.0,137.3,780,105113.5,EQLV
2013-08-05,137.6,140.3,137.3,140.28,2710,379720.4,EQLV
2013-08-06,140.0,140.3,135.0,136.5,8680,1181941.4,EQLV
2013-08-07,140.0,140.0,135.2,137.11,2650,363540.7,EQLV
2013-08-08,142.65,142.65,133.0,133.0,3830,522606.8,EQLV
2013-08-09,137.0,137.0,129.5,130.11,4490,594097.2,EQLV
2013-08-12,130.0,131.0,128.1,128.3,3440,445719.6,EQLV
2013-08-13,129.0,132.99,129.0,132.75,3140,416294.7,EQLV
2013-08-14,132.88,132.88,129.0,129.5,1890,246089.5,EQLV
2013-08-15,131.0,131.3,128.8,130.0,3070,402812.0,EQLV
2013-08-16,130.5,130.5,128.0,128.0,2060,268030.4,EQLV
2013-08-19,129.9,129.9,128.0,129.4,3040,392968.0,EQLV
2013-08-20,129.5,130.5,129.5,130.4,2920,380200.0,EQLV
2013-08-21,130.6,130.6,129.85,129.85,2850,370171.5,EQLV
2013-08-22,130.2,130.4,126.0,129.0,3840,493591.8,EQLV
2013-08-23,130.0,130.0,129.5,129.5,1590,205910.0,EQLV
2013-08-26,129.0,129.0,128.0,128.75,2250,289417.5,EQLV
2013-08-27,126.2,129.25,120.0,128.0,2330,292702.8,EQLV
2013-08-28,125.5,125.5,124.6,124.7,2170,270818.0,EQLV
2013-08-29,124.5,124.5,121.0,122.0,1660,203291.0,EQLV
2013-08-30,121.0,121.0,120.9,120.9,410,49580.0,EQLV
2013-09-02,119.5,119.95,118.91,118.91,970,115537.5,TQLV
