date,open,high,low,close,volume,value,board
2003-02-03,0,0,0,0.0,0,0,EQNE
2003-02-04,0,0,0,0.0,0,0,EQNE
2003-02-05,0,0,0,0.0,0,0,EQNE
2003-02-06,0,0,0,0.0,0,0,EQNE
2003-02-07,0,0,0,0.0,0,0,EQNE
2003-02-10,0,0,0,0.0,0,0,EQNE
2003-02-11,0,0,0,0.0,0,0,EQNE
2003-02-12,0,0,0,0.0,0,0,EQNE
2003-02-13,0,0,0,0.0,0,0,EQNE
2003-02-14,0,0,0,0.0,0,0,EQNE
2003-02-17,0,0,0,0.0,0,0,EQNE
2003-02-18,0,0,0,0.0,0,0,EQNE
2003-02-19,0,0,0,0.0,0,0,EQNE
2003-02-20,0,0,0,0.0,0,0,EQNE
2003-02-21,0,0,0,0.0,0,0,EQNE
2003-02-25,0,0,0,0.0,0,0,EQNE
2003-02-26,0,0,0,0.0,0,0,EQNE
2003-02-27,0,0,0,0.0,0,0,EQNE
2003-02-28,0,0,0,0.0,0,0,EQNE
2003-03-03,0,0,0,0.0,0,0,EQNE
2003-03-04,0,0,0,0.0,0,0,EQNE
2003-03-05,0,0,0,0.0,0,0,EQNE
2003-03-06,0,0,0,0.0,0,0,EQNE
2003-03-07,0,0,0,0.0,0,0,EQNE
2003-03-11,0,0,0,0.0,0,0,EQNE
2003-03-17,0,0,0,0.0,0,0,EQNE
2006-03-10,100,120,100,120.0,1200,124000,EQNE
2006-03-13,100,100,100,100.0,100,10000,EQNE
2006-03-16,79,79,79,79.0,100,7900,EQNE
2006-03-17,79.5,83,79.5,83.0,400,32450,EQNE
2006-03-20,79,79,75,75.0,400,30400,EQNE
2006-03-21,83,83,83,83.0,100,8300,EQNE
2006-03-23,72,72,72,72.0,100,7200,EQNE
2006-03-29,70,70,70,70.0,400,28000,EQNE
2006-03-31,78,78,78,78.0,100,7800,EQNE
2006-04-03,76,78,76,78.0,500,38400,EQNE
2006-04-05,71,75,71,75.0,600,43300,EQNE
2006-04-06,75,76,65,76.0,700,50600,EQNE
2006-04-12,75,75,75,75.0,1000,75000,EQNE
2006-04-13,65,69.999,65,65.0,700,45999.9,EQNE
2006-04-14,70,70,70,70.0,200,14000,EQNE
2006-04-17,60,70,60,70.0,2000,138999,EQNE
2006-04-20,62.7,62.7,62.7,62.7,100,6270,EQNE
2006-05-15,58,58,57,57.0,200,11500,EQNE
2006-05-18,68,68,68,68.0,200,13600,EQNE
2006-07-03,50,54,49,54.0,400,20200,EQNE
2006-07-05,58,58,58,58.0,300,17400,EQNE
2006-07-10,51,51,50,50.0,300,15200,EQNE
2006-07-11,57,57,57,57.0,200,11400,EQNE
2006-08-01,52.25,52.25,52.25,52.25,100,5225,EQNE
2006-09-11,2.15,45,2.15,40.0,300,8715,EQNE
2006-09-19,40,48,40,48.0,3200,140870.3,EQNE
2006-09-21,50,50,50,50.0,100,5000,EQNE
2006-09-29,45,45,43,43.0,400,17600,EQNE
2006-10-02,53.37,53.37,50,50.0,500,26348,EQNE
2006-10-03,52.998,52.998,47,47.0,400,19609.8,EQNE
2006-10-04,53.37,53.37,53.37,53.37,200,10674,EQNE
2006-11-01,57.99,57.99,54,54.0,200,11199,EQNE
2006-11-02,54,55.45,53,53.0,500,27190,EQNE
2006-11-03,57,57,54.5,54.5,400,22300,EQNE
2006-11-07,54,54,54,54.0,200,10800,EQNE
2006-11-08,48,54.9,48,54.9,200,10290,EQNE
2006-11-09,49,49,45,45.0,200,9400,EQNE
2006-11-13,48.06,54,48.06,54.0,300,15012,EQNE
2006-11-14,55.37,55.37,55,55.0,200,11037,EQNE
2006-11-22,57.4,57.4,54,57.0,300,16840,EQNE
2006-12-04,56.5,58.7,56.5,58.7,300,17390,EQNE
2006-12-05,60,61,60,61.0,1300,78700,EQNE
2006-12-06,61,62,61,61.0,900,55200,EQNE
2006-12-07,61,65,61,65.0,500,31700,EQNE
2006-12-08,64.5,65,64.5,65.0,1900,123250,EQNE
2006-12-12,66,66,65,65.0,600,39400,EQNE
2006-12-13,66,68,66,66.0,1400,92600,EQNE
2006-12-14,67,73,67,73.0,2200,155600,EQNE
2006-12-15,65,65,64,64.0,1000,64100,EQNE
2006-12-21,75,77.77,75,77.77,800,61308,EQNE
2006-12-22,76.65,76.65,76.65,76.65,100,7665,EQNE
2006-12-25,75,79,69.51,79.0,12700,960663,EQNE
2006-12-26,80,100,75.5,99.0,2600,231720,EQNE
2006-12-27,90.11,96.5,90.11,96.5,2100,196078,EQNE
2006-12-29,92.52,95,92.52,95.0,300,28052,EQNE
2007-01-09,90,103,90,103.0,3000,288000,EQNE
2007-01-10,90,100,90,100.0,1000,96480,EQNE
2007-01-15,91,91,85,85.0,200,17600,EQNE
2007-01-16,86,92.9,86,92.9,800,72260,EQNE
2007-01-17,85,85.1,85,85.0,400,34010,EQNE
2007-01-18,90.5,99,90.45,99.0,2000,188812,EQNE
2007-01-23,81,92.9,81,90.0,3900,337452.5,EQNE
2007-01-25,80,80,80,80.0,300,24000,EQNE
2007-01-29,82,82,82,82.0,100,8200,EQNE
2007-01-30,85,85,85,85.0,700,59500,EQNE
2007-01-31,82,82,82,82.0,100,8200,EQNE
2007-02-01,84,85,84,85.0,1400,118794,EQNE
2007-02-05,86.37,86.37,82,82.0,700,60022,EQNE
2007-02-06,82,86,82,82.0,1900,159208,EQNE
2007-02-07,82.9,82.97,79.99,79.99,15600,1264627,EQNE
2007-02-08,75,75,75,75.0,300,22500,EQNE
2007-02-09,78,80,78,78.0,600,47200,EQNE
2007-02-12,81.2,81.2,81.2,81.2,100,8120,EQNE
2007-02-13,80,80,78,78.0,1200,94000,EQNE
2007-02-14,75.139,75.139,75.139,75.139,500,37569.5,EQNE
2007-02-15,75.139,75.139,75.139,75.139,100,7513.9,EQNE
2007-02-16,75,75,75,75.0,300,22500,EQNE
2007-02-19,75,75.001,75,75.0,2000,150000.2,EQNE
2007-02-20,75,75,75,75.0,100,7500,EQNE
2007-02-22,75,75,75,75.0,2000,150000,EQNE
2007-02-27,75,77,71,71.0,300,22300,EQNE
2007-02-28,68,69,68,69.0,3700,252200,EQNE
2007-03-01,68,68,68,68.0,200,13600,EQNE
2007-03-05,60,75,55.1,74.0,12300,863600,EQNE
2007-03-09,66,74,66,74.0,1900,133200,EQNE
2007-03-12,73.4,73.4,73.4,73.4,200,14680,EQNE
2007-03-16,65.51,65.51,65,65.0,500,32551,EQNE
2007-03-20,66,66,66,66.0,400,26400,EQNE
2007-03-30,72,72,72,72.0,100,7200,EQNE
2007-04-04,65.001,65.001,65.001,65.001,100,6500.1,EQNE
2007-04-05,70,70,70,70.0,100,7000,EQNE
2007-04-09,69,72,69,70.0,2600,182820,EQNE
2007-04-10,70,70,70,70.0,500,35000,EQNE
2007-04-11,67,67,67,67.0,200,13400,EQNE
2007-04-13,70,70,70,70.0,200,14000,EQNE
2007-04-18,65.3,65.3,65,65.0,300,19550,EQNE
2007-04-24,65.3,65.3,65.3,65.3,100,6530,EQNE
2007-04-28,66,66,50,50.0,200,11600,EQNE
2007-05-21,58.001,58.001,58.001,58.001,100,5800.1,EQNE
2007-05-22,61,61,61,61.0,100,6100,EQNE
2007-05-28,62,62,62,62.0,400,24800,EQNE
2007-05-31,56.002,60,56.002,60.0,1000,58001,EQNE
2007-06-04,56,56.01,56,56.0,700,39201,EQNE
2007-06-05,60,60,60,60.0,600,36000,EQNE
2007-06-08,57.3,57.4,57.3,57.4,2000,114700,EQNE
2007-06-13,58,58.8,58,58.8,1000,58460,EQNE
2007-06-15,58.5,58.9,58.5,58.9,3400,199800,EQNE
2007-06-18,58.35,58.35,58.35,58.35,500,29175,EQNE
2007-06-19,61,63,61,63.0,2700,167400,EQNE
2007-06-20,63,63,63,63.0,100,6300,EQNE
2007-06-21,58.5,61,58.5,61.0,1400,83650,EQNE
2007-06-22,63,63,63,63.0,400,25200,EQNE
2007-07-03,60,60,60,60.0,1100,66000,EQNE
2007-07-04,58.01,58.01,58,58.0,200,11601,EQNE
2007-07-05,60,60,60,60.0,500,30000,EQNE
2007-07-06,61,61,61,61.0,1000,61000,EQNE
2007-07-09,62,62,62,62.0,1000,62000,EQNE
2007-07-12,63,63,63,63.0,1000,63000,EQNE
2007-07-13,60.3,60.3,60.3,60.3,200,12060,EQNE
2007-07-16,80,80,80,80.0,100,8000,EQNE
2007-07-18,65,65,64.999,64.999,400,25999.9,EQNE
2007-07-19,60,60,60,60.0,300,18000,EQNE
2007-07-20,62,62,62,62.0,300,18600,EQNE
2007-07-25,60,60,60,60.0,1100,66000,EQNE
2007-07-26,60,60,60,60.0,700,42000,EQNE
2007-07-30,62,62,60,62.0,3900,240000,EQNE
2007-07-31,65,65,65,65.0,100,6500,EQNE
2007-08-01,61,61,60,60.0,200,12100,EQNE
2007-08-02,61,62,61,62.0,2800,172199.8,EQNE
2007-08-03,62.5,62.5,62.5,62.5,200,12500,EQNE
2007-08-09,64.999,65,64.999,65.0,1300,84499.7,EQNE
2007-08-16,60,60,60,60.0,100,6000,EQNE
2007-08-17,60,61,60,61.0,2600,157400,EQNE
2007-08-20,60,61,60,61.0,400,24200,EQNE
